Date,Avg_Temperature,Max_Temperature,Min_Temperature,Humidity,Rainfall_Snowmelt,Visibility,Wind_Speed,Max_Sustained_Wind_Speed,City,Month,Year,Day,DayOfWeek,IsWeekend,Season,Daily_PM25
2013-01-01,23.4,30.3,19.0,59.0,0.0,6.3,4.3,5.4,Bangalore,1,2013,1,1,0,Winter,279.1565217391304
2013-01-02,22.4,30.3,16.9,57.0,0.0,6.9,3.3,7.6,Bangalore,1,2013,2,2,0,Winter,332.2391304347826
2013-01-03,24.0,31.8,16.9,51.0,0.0,6.9,2.8,5.4,Bangalore,1,2013,3,3,0,Winter,38.84615384615385
2013-01-04,,,,,,,,,Bangalore,1,2013,4,4,0,Winter,46.416666666666664
2013-01-05,,,,,,,,,Bangalore,1,2013,5,5,1,Winter,92.3913043478261
2013-01-06,,,,,,,,,Bangalore,1,2013,6,6,1,Winter,38.34782608695652
2013-01-07,22.8,30.2,17.6,55.0,0.0,7.7,3.7,7.6,Bangalore,1,2013,7,0,0,Winter,64.56521739130434
2013-01-08,23.1,30.6,17.4,46.0,0.0,6.9,3.3,5.4,Bangalore,1,2013,8,1,0,Winter,41.52173913043478
2013-01-09,22.9,30.6,17.4,51.0,0.0,6.9,3.5,3.5,Bangalore,1,2013,9,2,0,Winter,32.17391304347826
2013-01-10,,,,,,,,,Bangalore,1,2013,10,3,0,Winter,31.272727272727273
2013-01-11,,,,,,,,,Bangalore,1,2013,11,4,0,Winter,97.34782608695652
2013-01-12,,,,,,,,,Bangalore,1,2013,12,5,1,Winter,114.78260869565217
2013-02-01,21.6,29.2,15.3,51.0,0.0,6.9,3.9,5.4,Bangalore,2,2013,1,4,0,Winter,236.82380952380953
2013-02-02,21.4,29.2,15.2,45.0,0.0,6.9,2.8,5.4,Bangalore,2,2013,2,5,1,Winter,278.95217391304345
2013-02-03,21.8,29.6,14.4,37.0,0.0,7.4,2.2,3.5,Bangalore,2,2013,3,6,1,Winter,2.5294117647058822
2013-02-04,,,,,,,,,Bangalore,2,2013,4,0,0,Winter,33.9
2013-02-05,,,,,,,,,Bangalore,2,2013,5,1,0,Winter,141.08695652173913
2013-02-06,,,,,,,,,Bangalore,2,2013,6,2,0,Winter,44.869565217391305
2013-02-07,24.6,32.2,18.8,55.0,0.0,6.9,2.2,3.5,Bangalore,2,2013,7,3,0,Winter,
2013-02-08,24.6,32.2,21.0,63.0,0.51,5.5,3.9,9.4,Bangalore,2,2013,8,4,0,Winter,25.26086956521739
2013-02-09,23.9,31.6,19.0,51.0,0.0,6.6,5.9,9.4,Bangalore,2,2013,9,5,1,Winter,30.565217391304348
2013-02-10,,,,,,,,,Bangalore,2,2013,10,6,1,Winter,26.82608695652174
2013-02-11,,,,,,,,,Bangalore,2,2013,11,0,0,Winter,209.43478260869566
2013-02-12,,,,,,,,,Bangalore,2,2013,12,1,0,Winter,177.6086956521739
2013-03-01,25.5,33.0,18.5,26.0,0.0,6.9,3.9,5.4,Bangalore,3,2013,1,4,0,Summer,178.15217391304347
2013-03-02,25.5,33.0,18.9,34.0,0.0,6.9,4.6,7.6,Bangalore,3,2013,2,5,1,Summer,180.55217391304348
2013-03-03,25.3,33.2,18.5,31.0,0.0,6.9,3.5,5.4,Bangalore,3,2013,3,6,1,Summer,2.1
2013-03-04,,,,,,,,,Bangalore,3,2013,4,0,0,Summer,36.42857142857143
2013-03-05,,,,,,,,,Bangalore,3,2013,5,1,0,Summer,131.47826086956522
2013-03-06,,,,,,,,,Bangalore,3,2013,6,2,0,Summer,65.69565217391305
2013-03-07,24.0,30.4,21.0,71.0,0.0,6.3,5.2,5.4,Bangalore,3,2013,7,3,0,Summer,54.75
2013-03-08,25.4,32.0,20.0,56.0,0.51,6.9,3.5,5.4,Bangalore,3,2013,8,4,0,Summer,27.434782608695652
2013-03-09,25.8,34.1,20.3,51.0,0.0,6.6,1.5,3.5,Bangalore,3,2013,9,5,1,Summer,30.217391304347824
2013-03-10,,,,,,,,,Bangalore,3,2013,10,6,1,Summer,28.869565217391305
2013-03-11,,,,,,,,,Bangalore,3,2013,11,0,0,Summer,337.5
2013-03-12,,,,,,,,,Bangalore,3,2013,12,1,0,Summer,185.08695652173913
2013-04-01,27.2,36.5,20.7,58.0,11.94,6.9,4.3,7.6,Bangalore,4,2013,1,0,0,Summer,197.6357142857143
2013-04-02,26.9,34.9,22.2,54.0,0.0,6.9,5.0,11.1,Bangalore,4,2013,2,1,0,Summer,170.7391304347826
2013-04-03,27.8,34.9,22.1,58.0,1.02,6.9,3.5,7.6,Bangalore,4,2013,3,2,0,Summer,2.3333333333333335
2013-04-04,,,,,,,,,Bangalore,4,2013,4,3,0,Summer,39.214285714285715
2013-04-05,,,,,,,,,Bangalore,4,2013,5,4,0,Summer,102.08695652173913
2013-04-06,,,,,,,,,Bangalore,4,2013,6,5,1,Summer,66.26086956521739
2013-04-07,29.9,36.8,23.3,41.0,0.0,6.9,3.7,7.6,Bangalore,4,2013,7,6,1,Summer,47.73913043478261
2013-04-08,29.4,36.8,24.4,44.0,0.0,6.9,2.0,7.6,Bangalore,4,2013,8,0,0,Summer,40.04347826086956
2013-04-09,29.6,36.0,24.5,42.0,0.0,6.9,3.9,7.6,Bangalore,4,2013,9,1,0,Summer,31.695652173913043
2013-04-10,,,,,,,,,Bangalore,4,2013,10,2,0,Summer,33.47826086956522
2013-04-11,,,,,,,,,Bangalore,4,2013,11,3,0,Summer,227.33333333333334
2013-04-12,,,,,,,,,Bangalore,4,2013,12,4,0,Summer,196.95652173913044
2013-05-01,28.7,37.0,22.7,43.0,0.0,6.9,3.5,5.4,Bangalore,5,2013,1,2,0,Summer,
2013-05-02,29.6,37.6,24.0,51.0,0.0,6.9,4.8,7.6,Bangalore,5,2013,2,3,0,Summer,78.39565217391304
2013-05-03,28.3,37.6,24.0,58.0,0.51,6.9,6.5,11.1,Bangalore,5,2013,3,4,0,Summer,36.588235294117645
2013-05-04,,,,,,,,,Bangalore,5,2013,4,5,1,Summer,52.17391304347826
2013-05-05,,,,,,,,,Bangalore,5,2013,5,6,1,Summer,101.52173913043478
2013-05-06,,,,,,,,,Bangalore,5,2013,6,0,0,Summer,80.0
2013-05-07,28.8,35.1,24.3,58.0,0.0,6.9,4.6,5.4,Bangalore,5,2013,7,1,0,Summer,37.34782608695652
2013-05-08,28.0,35.1,23.4,61.0,0.0,6.9,5.9,7.6,Bangalore,5,2013,8,2,0,Summer,39.34782608695652
2013-05-09,26.9,35.3,22.2,63.0,1.02,6.9,4.3,7.6,Bangalore,5,2013,9,3,0,Summer,34.130434782608695
2013-05-10,,,,,,,,,Bangalore,5,2013,10,4,0,Summer,60.95652173913044
2013-05-11,,,,,,,,,Bangalore,5,2013,11,5,1,Summer,422.39130434782606
2013-05-12,,,,,,,,,Bangalore,5,2013,12,6,1,Summer,148.52173913043478
2013-06-01,21.8,29.4,20.0,90.0,,5.5,6.1,7.6,Bangalore,6,2013,1,5,1,Monsoon,
2013-06-02,22.3,27.6,20.0,86.0,12.95,5.5,6.1,9.4,Bangalore,6,2013,2,6,1,Monsoon,55.08695652173913
2013-06-03,22.3,27.6,19.2,85.0,5.08,5.5,6.3,7.6,Bangalore,6,2013,3,0,0,Monsoon,109.0
2013-06-04,,,,,,,,,Bangalore,6,2013,4,1,0,Monsoon,90.17391304347827
2013-06-05,,,,,,,,,Bangalore,6,2013,5,2,0,Monsoon,117.82608695652173
2013-06-06,,,,,,,,,Bangalore,6,2013,6,3,0,Monsoon,75.21739130434783
2013-06-07,23.8,29.9,21.0,80.0,0.0,6.9,8.7,11.1,Bangalore,6,2013,7,4,0,Monsoon,32.95652173913044
2013-06-08,23.0,28.8,20.1,77.0,2.03,6.3,8.1,11.1,Bangalore,6,2013,8,5,1,Monsoon,41.82608695652174
2013-06-09,23.8,28.4,20.1,70.0,0.0,6.9,12.4,18.3,Bangalore,6,2013,9,6,1,Monsoon,31.0
2013-06-10,,,,,,,,,Bangalore,6,2013,10,0,0,Monsoon,65.34782608695652
2013-06-11,,,,,,,,,Bangalore,6,2013,11,1,0,Monsoon,337.17391304347825
2013-06-12,,,,,,,,,Bangalore,6,2013,12,2,0,Monsoon,169.52173913043478
2013-07-01,23.7,29.2,19.4,70.0,0.0,6.9,8.5,14.8,Bangalore,7,2013,1,0,0,Monsoon,253.75384615384615
2013-07-02,22.6,29.2,19.8,79.0,0.0,5.5,6.9,11.1,Bangalore,7,2013,2,1,0,Monsoon,52.17391304347826
2013-07-03,22.2,28.1,19.9,83.0,3.05,6.9,6.7,11.1,Bangalore,7,2013,3,2,0,Monsoon,103.6086956521739
2013-07-04,,,,,,,,,Bangalore,7,2013,4,3,0,Monsoon,83.04347826086956
2013-07-05,,,,,,,,,Bangalore,7,2013,5,4,0,Monsoon,145.30434782608697
2013-07-06,,,,,,,,,Bangalore,7,2013,6,5,1,Monsoon,65.69565217391305
2013-07-07,23.3,29.6,20.6,76.0,10.92,6.3,5.0,9.4,Bangalore,7,2013,7,6,1,Monsoon,51.26086956521739
2013-07-08,23.8,28.7,20.5,73.0,0.0,6.9,5.7,9.4,Bangalore,7,2013,8,0,0,Monsoon,50.391304347826086
2013-07-09,22.6,28.8,20.4,82.0,0.0,6.9,5.6,7.6,Bangalore,7,2013,9,1,0,Monsoon,
2013-07-10,,,,,,,,,Bangalore,7,2013,10,2,0,Monsoon,60.56521739130435
2013-07-11,,,,,,,,,Bangalore,7,2013,11,3,0,Monsoon,321.1304347826087
2013-07-12,,,,,,,,,Bangalore,7,2013,12,4,0,Monsoon,235.52173913043478
2013-08-01,22.4,26.2,20.0,79.0,0.0,6.6,9.8,14.8,Bangalore,8,2013,1,3,0,Monsoon,221.18695652173915
2013-08-02,23.2,28.4,20.1,78.0,0.25,6.9,9.8,11.1,Bangalore,8,2013,2,4,0,Monsoon,92.30434782608695
2013-08-03,22.7,28.4,20.2,80.0,0.0,6.3,6.7,11.1,Bangalore,8,2013,3,5,1,Monsoon,112.56521739130434
2013-08-04,,,,,,,,,Bangalore,8,2013,4,6,1,Monsoon,105.1304347826087
2013-08-05,,,,,,,,,Bangalore,8,2013,5,0,0,Monsoon,160.1304347826087
2013-08-06,,,,,,,,,Bangalore,8,2013,6,1,0,Monsoon,77.43478260869566
2013-08-07,23.4,28.0,20.1,76.0,0.0,6.9,6.3,7.6,Bangalore,8,2013,7,2,0,Monsoon,44.30434782608695
2013-08-08,23.9,29.5,20.6,74.0,0.0,6.3,6.1,9.4,Bangalore,8,2013,8,3,0,Monsoon,36.130434782608695
2013-08-09,23.7,29.5,20.9,76.0,0.0,6.9,6.3,9.4,Bangalore,8,2013,9,4,0,Monsoon,
2013-08-10,,,,,,,,,Bangalore,8,2013,10,5,1,Monsoon,62.54545454545455
2013-08-11,,,,,,,,,Bangalore,8,2013,11,6,1,Monsoon,280.5217391304348
2013-08-12,,,,,,,,,Bangalore,8,2013,12,0,0,Monsoon,369.69565217391306
2013-09-01,24.3,30.8,19.2,72.0,22.86,6.9,0.9,3.5,Bangalore,9,2013,1,6,1,Monsoon,199.7478260869565
2013-09-02,23.9,31.4,19.0,76.0,79.76,6.9,1.5,5.4,Bangalore,9,2013,2,0,0,Monsoon,95.82608695652173
2013-09-03,22.9,31.4,19.5,80.0,12.45,6.9,3.7,11.1,Bangalore,9,2013,3,1,0,Monsoon,122.82608695652173
2013-09-04,,,,,,,,,Bangalore,9,2013,4,2,0,Monsoon,120.52173913043478
2013-09-05,,,,,,,,,Bangalore,9,2013,5,3,0,Monsoon,148.2608695652174
2013-09-06,,,,,,,,,Bangalore,9,2013,6,4,0,Monsoon,69.91304347826087
2013-09-07,22.2,27.7,20.0,85.0,0.0,6.3,4.8,7.6,Bangalore,9,2013,7,5,1,Monsoon,29.956521739130434
2013-09-08,21.8,25.4,19.5,89.0,3.05,5.5,2.8,5.4,Bangalore,9,2013,8,6,1,Monsoon,30.869565217391305
2013-09-09,21.7,25.4,19.1,84.0,60.71,5.5,3.3,5.4,Bangalore,9,2013,9,0,0,Monsoon,
2013-09-10,,,,,,,,,Bangalore,9,2013,10,1,0,Monsoon,41.21739130434783
2013-09-11,,,,,,,,,Bangalore,9,2013,11,2,0,Monsoon,185.0
2013-09-12,,,,,,,,,Bangalore,9,2013,12,3,0,Monsoon,311.04347826086956
2013-10-01,23.8,29.5,19.6,73.0,0.0,6.9,5.0,7.6,Bangalore,10,2013,1,1,0,Post-Monsoon,154.96521739130435
2013-10-02,24.2,29.5,21.1,73.0,0.0,6.9,6.3,11.1,Bangalore,10,2013,2,2,0,Post-Monsoon,209.34782608695653
